,akita,bulldog,dog,basset,beagle,belga juhász,berni pásztorkutya,havanese,bobtail,bolognese,boxer,bullmastiff,bullterrier,cane corso,colli,coton de tuléar,csivava,dalmata,golden retriever,griffan,husky,ír szetter,japán chin,keverék,kínai kopasz kutya,palota pincsi,kisolasz agár,labrador,lhasa apso,magyar agár,malinois,mops,mudi,német juhász,papillon,pincser,puli,pumi,rottweiler,samayed spice,schnauzer,shar-pei,shetland shepdog,si-csu,spániel,spitz,tacskó,terrier,törpe schnautzer,uszkár,vizsla,west highland white terrier,whippet,
Egyetértés utca,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,
Epreserdő utca,,,,,,,,6,,,2,,,,,,2,,,,,1,,15,,1,,,1,,,,,,,1,,,,,,,,1,,,1,3,1,2,,3,,
Friss utca,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Hurok utca,,,,,,,,1,,2,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,,,,
Ifjúmunkás utca,,1,,,,,,2,,1,1,,,,,,3,1,,,,,,7,,1,,,,,,1,,,,,,,,,,1,,1,,,,4,1,,1,,,
Kosárka sétány,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Lobogó utca,,,,,1,,1,1,,,,,,,,1,,,,,,,,6,,1,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,
Napfény utca,,,,,1,,,1,,3,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,1,,,,,2,4,,1,,1,,
Pöttyös utca,,,,,1,,,1,,1,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,
Távíró köz,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Távíró utca,,1,,,,,1,,,1,,,,,,,,,,,,,,3,2,3,,,,,,,,1,,,1,,1,,,,,,4,,1,,,1,2,,,
Toronyház utca,,,,1,,,,,,3,,,,,,,,,,,,2,,2,,1,,,,,,,,2,,,,,,,,,,,2,,1,1,,,2,,,
Soroksári út,,,,,1,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,2,,,
Üllői út,,2,,,1,,2,3,,7,,,1,1,1,,1,,,,,,,49,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
